Name,Address,Rating,Place ID,Reviews,Distance from Center
Souper,"Bulevardul Eroilor 3, Cluj-Napoca",4.6,ChIJjxxMjScMSUcRfDlTQk_LetA,"Sandrine J: Love it ! So amazing to be able to have a soup as a snack . Just wonderful and the mushroom soup was delicious; L. Filip: I really love the concept of cream soup + focaccia/pizza :). Also great prices and service.

The ambiance could be slightly improved, but luckily you can also enjoy it at home via Bolt Food.; Marquito el chocolatero: Loved the soups!
Perfect for a quick lunch break.
Some space for improvement with decoration. They need better towels, wider cups, disposable plates for pizza and a recycle bin.; Gajdo Alexandru: One of the best and breakfast-lunch restaurants in the city, being also the cheapest you can find.

They have great prices for a soup, salads, pasta and pizzone (a thicker pizza-slice sandwhich hybrid), the cheapest can be 3$ and the most expensive is 5$, being able to combine the foods with a soup for prices max to 9$, having a cheap and nutritious meal with quality ingredients and no compromises. They also include with their soups a free fresh foccacia slice, a great option on top of the amazing features this soup bar has.
Everything is freshly made, changing daily the soup recipes, the place's main star.

I had today, as i have been here multiple times, a cheese baked pepper soup with a foccacia and it was amazing, everything was tasty, rightly textured, the soup was hot and savoury and the foccacia was aromatic as it is classically done.

If you wish a quick, nutritive meal in the City of Cluj-Napoca, you must come here ASAP!

10/10 Would highly recommend!; Kaloz Janos: If you wondere when to get a delicious, and off the grid soup, this is your place!",0.1
Culina Nostra Catering an Events,"Bulevardul 21 Decembrie 1989 9, Cluj-Napoca",4.5,ChIJSw7wjp0OSUcRWgaKNRAzAek,"Julia: Very few vegatarian dishes, but all we had were delicious:); Dacian Cimpean: Nice ambiance, really good food, extremely polite staff, can't find anything I didn't like there; Jonathan Melhuish (Verkla): Lovely terrace, friendly staff (who speak English, Romanian and Hungarian), tasty food and very affordable daily menu.; stan lucian: Excelent feeling...nice service...good food and wine; Vasile Pop: Decent traditional hungarian/romanian food, perfect for a quick lunch. Usually crowded though.",0.18
Subway,"Piața Unirii 2, Ground Floor 1A/I, Cluj-Napoca",4.4,ChIJW2OX8ScMSUcRGrwJmUZROIU,"Bella Blossom: I absolutely loved this Subway. The style was very homey. The line was well presented, everything was clean to perfection. There was so much to choose from and everyone there so nice.; Bethany G. Serinken: The Subway was your classic Subway. The food was standard, and good. There was a soda fountain. They told us we can only have three refills for our cup. When we filled our cup for 7up, it was sparkling water instead.; Ligiu Uiorean: Staff would not provide reasonable quantities for the ingredients, as requested. They explained that the have to follow the recipe. Menu with quantities is not displayed in the store (as probably required by law) and staff took time to produce it. Finally they produced the wrong menu (I did not order vegetarian); Karina Sinatovici: The restaurant was empty but almost all the tables were dirty. The vegetable refrigerator was very frozen. Apart from that the food was as usual,good.; Nour Abdul-Halim: Very tasty vegan options ( especially the TLC ). The vegetables are fresh, and sauces are delicious, and the sandwiches are very filling. The only disadvantage is that the prices increased with inflation and it got pricy like everywhere else",0.19
Bujole,"Piața Unirii 15, Cluj-Napoca",4.5,ChIJlcuuSCcMSUcRFI91kR56gIM,"Pavel Bodiš: The atmosphere of the restaurant is very nice! The food is delicious! The prices are very reasonable for this location. The pasta 🍝 was around 50. Also the local beer was great! The garden is huge but it was raining when we were there. Anyway I can just recommend this restaurant for anyone in this area! The staff was also caring and speaking English.; Sani Ario: This place wins hands down in terms of street side lively vibe and atmosphere of the square. However, the food was quite average. My octopus was delicious enough, but the frito misto was laden with frozen fish and cheap cuts of vegetables. It would make the nonnas of Italy roll in their grave. Disgraceful. Sit down and have a drink, but be cautious in selecting the dishes.; John F: Excellent food and service! We appreciated the wine recommendation :); sabina todica: Unfortunately not the best experience.
The atmosphere is great due to the location…cathedral, scenery, summer.
Service disappointing- towards the end of our meal all the staff and I mean all the staff were inside sitting and dancing perhaps doing a Tik Tok. Took about 10 min to acknowledge us even though the outside tables were all full, this was around 8 pm
Food was great until the dessert arrived - a very old Tarte Tatin that was meant to have apples on top , was actually green and bitter and look like it’s days were long gone. I worked for years in the hospitality industry and I would never served that tarte as a Chef or waiter.
Was taken of the bill so fair point at least I wasn’t asked to pay for it.
I would suggest a customer service training to the serving assistants.
No non alcoholic beer, sparkling wine/prosecco nor decaffeinated coffee available.; Ioana-Livia Murariu: The food is nothing special, the coffee was a bit too acidic. I assume that the location justifies the price, but the food does not. The atmosphere is great, and the terrace is nice, right in the middle of the city. Very friendly staff.",0.22
Nuka Bistro,"Piața Unirii 16, Cluj-Napoca",4.3,ChIJI1Y2Pp0OSUcRKKMyqkiroaY,"Izabela Valentine: A must see in Cluj Napoca Piața Unirii. This bistro cafe is very modern and includes some of the original medieval architecture combined in an interesting way. The service and food is excellent!!!🥰; Alina Miller: My husband and I ate here a few years ago and we absolutely loved it. Had the opportunity to visit Cluj again, so of course, we chose to eat here. This time we were not that impressed. We even brought a couple friends with, and raved about this place the whole way there. Unfortunately,  it was a let down, and none of us really enjoyed their food. The service was good, but the food was really lacking.

I ordered the salmon pasta and there was barely any salmon in it. It was just noodles with 2 tiny pieces of meat.

Even the hummus appetizer was not that tasty anymore. Not sure what happened, but unfortunately,  we won't be coming back.

P.S. my original review is below.

I love this place! Been here a couple times and the food is so delicious and the place feels cozy and really comfortable. I really reccomend the hummus it's the best I've ever had.; Daniel Cox: An EXCELLENT casual restaurant with lovely outdoor views of St Michael's Church. The steak sandwich I had was possibly the best sandwich I've ever had!

Special thanks to our sever Larisa, who was polite, professional, helpful, and spoke excellent English (and was patient with our awful attempts at speaking Romanian!).; Dani scalo: Sofisticated location in the middle of the city , flavius is a good Waiter , i personally prefer to have more dishes to choose but its ok for last minute restaurant; Byron Farrow: Food was good: Gnocchi, Salmon and Chicken Schnitzel all come highly recommended. Good service. Prices reasonable for the (excellent) location.",0.23
Rhédey Café,"Piața Unirii 9, Cluj-Napoca",4.6,ChIJr_bzVp0OSUcRfCV-rA6gtzs,"f l α d σ я ρнαє: I had the best café in Europe. And the meals were so fantastic. Service was very good. Recommended. 😊✨❤️; Ivaylo Marinov: I was very positively surprised by our dinner there. As it was written, ""Cafe"" at first I thought it was not the place for dinner for us. Definitely recommend it. They have a good selection of local and Hungarian wines, and food is so delicious . My favorite dish was the eggplant starter /That bread was hot/, but all of what we have tried was great. ENJOY!; Alexandru Rogoveanu: Rhedey Café is a great traditional Romanian-Hungarian restaurant with the best Varză à la Cluj I’ve had in the city. Nice atmosphere, though it can get a bit crowded and noisy at times.; Elizaveta Larina: The duck was really very good! The portion was sufficient. I would return here; Cipri Stefancu: 4 Stars

I had a lovely evening at Rhédey Café! The ambiance is warm and inviting, perfect for enjoying a glass of wine and good conversation. The wine selection was fantastic, and the staff were friendly and attentive, adding to the overall cozy atmosphere.

One minor point: the tables are quite close together, which made it a bit challenging to have a private conversation. It would be even better with just a little more space between tables.

Overall, it's a charming spot for a relaxed evening, and I’d be happy to return!",0.23
Che Guevara Social Pub,"Palatul Josika, 400015, Piața Unirii 10, Cluj-Napoca",4.4,ChIJu-gzUZ0OSUcRBeJI7iWn1ws,"Adél Bajcsi: It is a nice pub with really good and unique hookahs. The burger we ate was super. The waitress was nice and professional. It is in an inner garden and it is heated with gas lamps so it is a bit chilly. Also, due to the same reason, smoking is allowed and my clothes become smelly :(; Ramona Bugnar: Went there for breakfast. What a cute and eclectic little restaurant, actually, an interior terrace. My eggs Benedict were really good, as was the cappuccino; Cassie Ellis: Wow! We really pissed off our waitress simply by ordering. We waited at the table for 15 minutes and eventually had to flag down a waitress to order. She was very annoyed that we selected her and she was very curt with us (not a language/cultural barrier - my husband is Romanian). She behaved the same way when we asked her for the check. I hope she is able to find work in another industry - she is not suited to working in any field where she needs to interact with other people.

The food and atmosphere was great! I do recommend a visit - just be mindful who you order from.; Aureliana Soldan: Place is really cool, I absolutely loved it, especially the inside terrace. The only thing regarding the food,which is also the reason why I gave 4 stars, is the fact that the pork knuckle was cold inside (it was probably cooked previously and heated on the spot, but ours was not sufficiently heated so the meat on the interior was still cold) and the cannoli is supposed to be crunchy, not soft and soaked. The cream inside was tasty, though. On the other hand, the risotto and all the food actually was very tasty. all in all, the place  is really cool and I loved it. Totally recommended.; A & N: Cozy place
Good selectoon of wines
Very polite staff
Humus was tasty",0.24
Mama Manu,"Bulevardul Eroilor 43, Cluj-Napoca",4.1,ChIJi41j_SYMSUcR-VAwqE5JGTE,"User: This food hits so hard! It's considered fast food, but coming from the USA, not even formal dine in is as good! Highly recommend.; Sergio B: Thank you to Violetta and Natalia for their service. I wish you all the best. Thank you!; Zsolt Demeter: What a miserable place to eat. Those rolling eyes from the stuff... how they make the food in front of you... Even if you are kind, they are definitely not. I'd think twice who to hire. But the best you can do is to avoid this place. You can find better food and kind staff somewhere else.; Zoltan Varza: Worst food poisoning ever, avoid at all cost.; Serban Afrasinei: Not the friendliest staff but the food was actually better than I was expecting. I got crispy with fries and the chicken was actually chicken, closer to what you get at KFC than any I've eaten. I'm still surprised. AND IT WAS CHEAP",0.26
Manger,"Strada Regele Ferdinand 23, Cluj-Napoca",4.5,ChIJOTT5M5wOSUcROT0F0ZmxoNw,"Robert Simoiu: This place has a lovely terrace, but it's closed during winter, and the indoor seating is limited. We recommend making a reservation in advance—we were fortunate to get a table.

The overall experience was excellent. It’s a fine dining restaurant with reasonably sized portions. We ordered the daily specials along with a starter and thoroughly enjoyed everything. The food was delicious—the fries were out of this world, and the beef ribs were incredible. The sardines and octopus salad were equally impressive.

I highly recommend this place!; Candela Fernández Armas: A Hidden Gem in Romania: Exceptional Dining Experience in Cluj

This restaurant is undoubtedly one of the best I’ve tried in Romania. It’s tucked away, so you might miss it if you’re not specifically looking for it. The place has a cozy terrace and an intimate indoor area with around 10-12 tables, creating a warm, welcoming atmosphere.

Our experience was impeccable from the start: we arrived late, around 9:00 pm (Spanish time), without a reservation, and were still greeted warmly. The staff was exceptional. Before seating us, they showed us the menu and carefully explained the dishes to make sure everything was to our liking—a thoughtful touch that made us feel at home.

When we asked for Romanian wine, they recommended a dry white off-menu option, which was perfect. The wine had a flavor profile very similar to albariño, ideal for Spanish tastes. Dinner started with a complimentary appetizer and a basket of homemade focaccia, which was delicious—soft and full of flavor from the first; Andrada Adelaida Patrascanu: I was expecting something wonderful taking into consideration the hype and the prices. Unfortunately, that was not the case. Average food, average drinks, average location (in fact, worse than average: the chairs are horrible and gave me a terrible back pain)…
I cannot say that the food is bad, but it’s not so tasty and exquisite as it seems. The best part of the food was…the bread😃; Adrian Gut: We had a lovely dinner on the terrace, we arrived around 19:00 and it wasn't too busy, but we had a reservation anyway. Service was efficient and the food was delicious, although portions might be smaller than other places, but for sure it's enough; what's important is the high quality and flavors - which we appreciated 👍 We had the hummus with focaccia, the ratatouille and the duck breast, all delicious and we were very happy. We'll be back to try some other appetizing options we saw in the menu.; Ella Farndon: This is a lovely place to eat, the food was so tasty and well presented without being pretentious!
The atmosphere wasn’t amazing but it was a Wednesday evening so I wasn’t expecting many people to be there!
The Rosé wine I had was so tasty and the waitress gave her recommendations for both food and wine.
All I would say is we could have done with a few more side dishes to fill us up so I would recommend, between 2 people, to order a main each and 3-4 sides to share.",0.29
Kiddy Store,"Strada Regele Ferdinand 22, Cluj-Napoca",,ChIJta9XMpwOSUcRKMxcgxgAsqY,,0.31
Da Camel Club,"Strada Tipografiei, Cluj-Napoca",4.5,ChIJ1VRuK5wOSUcRvryVG5ee-hw,"Stefic: Quite alright, didn’t have the chance to order food since I went on a Tuesday. The hookah was good and the drinks were amazing! The guy that served us was chill and polite.; Hunor Káli: The staff was very welcoming and great! The shisha tobacco felt counterfeit. Prices were normal/low. The music was loud and it did fit the place's style.; Marius Mirea: Heard that this place serves Indian food so I decided to give it a try. Ordered chicken jalfrezi but got some form of stew which has nothing to do with Indian food. The place is really messy, they play lots of Latino music and manele. The majority of the clients are gipsies. I don't recomand it if you want Indian food, just stick with indigo and gandhi.; Ciprian Sanfira: Nice place with cheap hookah, but you need to pay for extra coal and when i was there they said that it's closes at 10 pm. The music it's also good.; Eva Yanambakam: The atmosphere is nice, service was great and the food is top notch 10/10 would recommend.😎👍",0.32
Klausen Burger,"Strada Regele Ferdinand 22, Cluj-Napoca",4.3,ChIJn7fZNJwOSUcRTcXmyZZn-MA,"Katrinecz Julia: Amazing atmosphere, with several tables to take place.
Food is basic, nothing extraordinary.
Kind waiters. They served quiet fast.
Tried some beers and a cocktail.; Bianca Iota: Best goulash in town. Besides that, the food is good, nothing out of the ordinary. The only downside was that the server was busy kissing another server and forgot one of our orders.; C T: Great night. The meat selections are superb and go perfectly with a choice of local beers. A must try. Can get a little noisy as it’s a big place with lots of happy people!; M B: Great atmosphere and food, definitely recommend. We had potato fries with cheese and garlic (100% worth it!!), pizza Quattro Formaggi, and as dessert Pavlova (amazing as well!). As drinks we had their crafted beer -forgot the name, but it’s the red one with ginger, amazing as well.; Ionut Raducanu: The place has an open terrace on the 4th floor and it is a great place to enjoy a meal or a drink. The drinks here were homemade and quite tasty. However, the food was lacking in some departments. The ribs I ordered were a bit overcooked, the chicken sandwich had some vegetables in the patty, and the taste was not recognisable as chicken, and the waiting time for the food to arrive was over 30 minutes. Overall, it's not a bad place to eat, just don't expect too much.",0.32
Muura Steak House,"Strada Franklin Delano Roosevelt 2, Cluj-Napoca",4.5,ChIJv8qG_JwOSUcR3-3x-DIi9DU,"Viktor: Love this place! Right in the middle of downtown, they serve some of the best burgers I’ve ever had—juicy, packed with flavor, and just the right size. Their wine selection is also really solid, so you can always find a great pairing. The vibe is cozy, and the staff are super friendly. Definitely a spot worth checking out!; Sebastian Canta: Good food, even if a little on the pricey side. Would recommend the burgers; Maarten: I ate here because of a recommendation. I went for the beef soup with sour cream and the beef rib.
The soup was nothing special but nevertheless a good starter and not that expensive.
The rib with very tasty but contained way too much fat for my liking, of course this is something to be expected of a beef (short) rib but there was not enough other food to really counteract the fat.
I might return and try out a steak instead, I was told that that's the dish I should've ordered by the one recommending the place.
Apart from the amount of fat the rib was really tasty, because of that a 4 start review.; Rusu Alex: I planned my visit at Muura Steakhouse in advance, I always saw it when passing through Museum Square and I said to myself I ll eat here one day. Last night the plann was applied and I cam and asked for the greatest steak they had. Central location, made reservations just to be sure we get that table. The place was full, all tables booked full of people, the waiters had some issues delivering the food because of the crowd. The steak was great tho, I enjoyed every piece of it especially that it was comming after a great workout. They also have some very good violet tea and cheesecake and great some delicious turkey breast my date tried and was happy with. I recommend the place, I will return.; BEARLAUBSCHER: We stopped to just have a quick coffee and ended up having food too 😎
Sat outside under the canvas roof which was lovely and breezy
Staff are friendly and speak good English
Service is quick and efficient",0.33
